published,title,url,views
2007-07-02,Basics of probability and statistics,http://videolectures.net/bootcamp07_keller_bss,69891
2007-02-25,"Machine Learning, Probability and Graphical Models",http://videolectures.net/mlss06tw_roweis_mlpgm,42814
2009-11-02,Markov Chain Monte Carlo,http://videolectures.net/mlss09uk_murray_mcmc,41402
2007-02-25,Gaussian Process Basics,http://videolectures.net/gpip06_mackay_gpb,39970
2009-11-02,Topic Models,http://videolectures.net/mlss09uk_blei_tm,34234
2009-09-15,A tutorial on Deep Learning,http://videolectures.net/jul09_hinton_deeplearn,32694
2008-03-13,"Monte Carlo Simulation for Statistical Inference, Model Selection and Decision Making ",http://videolectures.net/mlss08au_freitas_asm,28047
2008-02-05,Introduction to Support Vector Machines,http://videolectures.net/epsrcws08_campbell_isvm,23330
2007-02-25,Semisupervised Learning Approaches,http://videolectures.net/mlas06_mitchell_sla,16655
2007-02-25,"Dirichlet Processes, Chinese Restaurant Processes, and all that",http://videolectures.net/icml05_jordan_dpcrp,16185
2010-08-05,Introduction to Machine Learning,http://videolectures.net/bootcamp2010_murray_iml,14814
2009-03-12, Challenges in Building Large-Scale Information Retrieval Systems,http://videolectures.net/wsdm09_dean_cblirs,14723
2009-11-02,Information Theory,http://videolectures.net/mlss09uk_mackay_it,14328
2007-07-02,Introduction to Machine Learning,http://videolectures.net/bootcamp07_guyon_itml,14197
2012-07-04,Big-Data Tutorial,http://videolectures.net/eswc2012_grobelnik_big_data,13507
2009-11-02,Deep Belief Networks ,http://videolectures.net/mlss09uk_hinton_dbn,12872
2007-02-25,Generative Models for Visual Objects and Object Recognition via Bayesian Inference,http://videolectures.net/mlas06_li_gmvoo,12718
2009-07-30,An Overview of Compressed Sensing and Sparse Signal Recovery via L1 Minimization,http://videolectures.net/mlss09us_candes_ocsssrl1m,12702
2007-02-25,Text Classification,http://videolectures.net/mlas06_cohen_tc,11664
2009-11-02,Particle Filters ,http://videolectures.net/mlss09uk_godsill_pf,11454
2011-09-09,Social Media Analytics,http://videolectures.net/single_leskovec_social,11013
2007-08-20,Introduction to bioinformatics,http://videolectures.net/mlss07_gunnar_intbio,9937
2007-02-25,A short Tutorial on Semantic Web,http://videolectures.net/training06_sure_stsw,9684
2008-11-24,How to Publish Linked Data on the Web,http://videolectures.net/iswc08_heath_hpldw,9580
2011-01-12,Optimization Algorithms in Machine Learning,http://videolectures.net/nips2010_wright_oaml,8864
2011-01-12,"How to Grow a Mind: Statistics, Structure and Abstraction ",http://videolectures.net/nips2010_tenenbaum_hgm,8681
2007-02-25,U?enje povzemanja besedil s pretvorbo v semanti?no mre���o,http://videolectures.net/single_leskovec_diploma,8482
2008-12-20,Matplotlib,http://videolectures.net/mloss08_hunter_mat,8440
2007-12-03,"Statistical techniques for fraud detection, prevention, and evaluation",http://videolectures.net/mmdss07_hand_stf,8295
2010-09-03,Introduction to Statistics,http://videolectures.net/cernstudentsummerschool09_cowan_is,8251
2008-11-24,Introduction to the Semantic Web,http://videolectures.net/iswc08_hendler_ittsw,8181
2009-11-02,Approximate Inference,http://videolectures.net/mlss09uk_minka_ai,7918
2007-02-25,Some Mathematical Tools for Machine Learning,http://videolectures.net/mlss03_burges_smtml,7889
2009-08-07,Multiple regression analysis,http://videolectures.net/ssmt09_kittel_mra,7887
2008-03-03,Group Theory and Machine Learning,http://videolectures.net/mlcued08_kondor_gtm,7785
2008-05-05,Learning in Computer Vision,http://videolectures.net/mlss08au_lucey_linv,7563
2010-08-05,Probability and Mathematical Needs,http://videolectures.net/bootcamp2010_anthoine_pmn,7365
2007-02-25,Text Information Extraction,http://videolectures.net/mlas06_nigam_tie,7138
2008-01-28,Mining Large Graphs: Laws and Tools,http://videolectures.net/ecml07_leskovec_mlg,6968
2007-08-27,Topics in image and video processing,http://videolectures.net/mlss07_blake_tiivp,6899
2010-10-11,The Importance of Reproducible Research in High-Throughput Biology: Case Studies in Forensic Bioinformatics,http://videolectures.net/cancerbioinformatics2010_baggerly_irrh,6895
2012-01-25,Alternating Direction Method of Multipliers,http://videolectures.net/nipsworkshops2011_boyd_multipliers,6665
2007-02-25,Computer Vision,http://videolectures.net/mlss04_blake_cv,6495
2009-07-30,Geometric Methods and Manifold Learning,http://videolectures.net/mlss09us_niyogi_belkin_gmml,6277
2007-02-25,Information Geometry,http://videolectures.net/mlss05us_dasgupta_ig,6097
2010-01-19,Sparse Methods for Machine Learning: Theory and Algorithms,http://videolectures.net/nips09_bach_smm,6083
2014-10-09,Deep Learning,http://videolectures.net/kdd2014_salakhutdinov_deep_learning,5923
2009-08-26,Tutorial on Learning Deep Architectures,http://videolectures.net/icml09_bengio_lecun_tldar,5855
2010-09-01,Cancer: A Computational Disease that AI Can Cure,http://videolectures.net/aaai2010_tenenbaum_cac,5837
2007-08-30,Sequential Monte Carlo methods ,http://videolectures.net/mlss07_doucet_smcm,5692
2009-04-01,Computer vision,http://videolectures.net/ssll09_hartley_covi,5522
2012-08-17,"How to Grow a Mind: Statistics, Structure and Abstraction",http://videolectures.net/aaai2012_tenenbaum_grow_mind,5495
2009-08-26,Online Dictionary Learning for Sparse Coding,http://videolectures.net/icml09_mairal_odlsc,5315
2008-06-02,15. CB2: Child Robot with Biomimetic Body,http://videolectures.net/aaai08_noda_crbb,5130
2007-12-03,Open Source Intelligence,http://videolectures.net/mmdss07_best_osi,5125
2008-09-26,"Mining Massive RFID, Trajectory, and Traffic Data Sets",http://videolectures.net/kdd08_han_mmrfid,5114
2007-02-25,Information Retrieval and Text Mining,http://videolectures.net/mlss04_hofmann_irtm,5079
2011-03-18,NLP at Google,http://videolectures.net/russir2010_filippova_nlp,4933
2007-02-25,Where the Social Web Meets the Semantic Web,http://videolectures.net/iswc06_gruber_wswms,4883
2007-08-14,From Trees to Forests and Rule Sets - A Unified Overview of Ensemble Methods,http://videolectures.net/kdd07_elder_seni_fttf,4861
2007-10-08,Learning to align: a statistical approach,http://videolectures.net/ida07_ricci_lta,4806
