published,title,url,views
2015-07-28,Deep Reinforcement Learning,http://videolectures.net/rldm2015_silver_reinforcement_learning,10267
2016-05-27,Incorporating Structure in Deep Learning,http://videolectures.net/iclr2016_urtasun_incoporating_structure,1763
2016-05-27,"Deep Compression: Compressing Deep Neural Networks with Pruning, Trained Quantization and Huffman Coding",http://videolectures.net/iclr2016_han_deep_compression,1447
2015-07-28,Basics of Computational Reinforcement Learning,http://videolectures.net/rldm2015_littman_computational_reinforcement,1426
2016-05-27,Deep Robotic Learning,http://videolectures.net/iclr2016_levine_deep_learning,1315
2016-02-10,Fast R-CNN,http://videolectures.net/iccv2015_girshick_fast_r_cnn,1259
2015-12-05,Two high stakes challenges in machine learning,http://videolectures.net/icml2015_bottou_machine_learning,1135
2016-08-31,Is Deep Learning the New 42?,http://videolectures.net/kdd2016_broder_deep_learning,730
2016-02-10,Multi-Task Recurrent Neural Network for Immediacy Prediction,http://videolectures.net/iccv2015_chu_neural_network,713
2016-05-27,Convergent Learning: Do different neural networks learn the same representations?,http://videolectures.net/iclr2016_yosinski_convergent_learning,712
2015-12-05,Natural Language Understanding: Foundations and State-of-the-Art,http://videolectures.net/icml2015_liang_language_understanding,692
2016-05-27,Opening,http://videolectures.net/iclr2016_larochelle_opening,620
2016-05-27,Neural Programmer-Interpreters,http://videolectures.net/iclr2016_reed_neural_programmer,571
2016-05-27,Should Model Architecture Reflect Linguistic Structure?,http://videolectures.net/iclr2016_dyer_model_architecture,562
2016-02-24,It´s Learning All the Way Down,http://videolectures.net/iccv2015_lecun_learning,548
2016-05-27,Beyond Backpropagation: Uncertainty Propagation,http://videolectures.net/iclr2016_lawrence_beyond_backpropagation,523
2015-02-17,Introduction to Hidden Markov Models,http://videolectures.net/mlpmsummerschool2014_artes_rodriguez_models,493
2016-08-31,Learning to learn and compositionality with deep recurrent neural networks,http://videolectures.net/kdd2016_de_freitas_recurrent_neural,480
2015-07-28,Quickly Learning to Make Good Decisions,http://videolectures.net/rldm2015_brunskill_good_decisions,468
2016-10-24,XNOR-Net: ImageNet Classification Using Binary Convolutional Neural Networks,http://videolectures.net/eccv2016_rastegari_neural_networks,424
2016-05-27,Guaranteed Non-convex Learning Algorithms through Tensor Factorization,http://videolectures.net/iclr2016_anandkumar_nonconvex_learning,422
2016-02-23,Convex Optimization with Abstract Linear Operators,http://videolectures.net/iccv2015_boyd_convex_optimization,414
2016-10-24,Colorful Image Colorization,http://videolectures.net/eccv2016_zhang_image_colorization,404
2015-12-05,Bayesian Time Series Modeling: Structured Representations for Scalability,http://videolectures.net/icml2015_fox_structured_representations,401
2016-02-10,Deep Neural Decision Forests,http://videolectures.net/iccv2015_kontschieder_decision_forests,376
2015-12-05,Advances in Structured Prediction,http://videolectures.net/icml2015_daume_structured_prediction,366
2015-02-17,Machine learning for brain imaging,http://videolectures.net/mlpmsummerschool2014_varoquaux_brain_imaging,359
2015-07-28,Natural RLDM: Optimal and Subptimal Control in Brain and Behavior,http://videolectures.net/rldm2015_daw_brain_and_behavior,353
2016-02-10,Human Parsing With Contextualized Convolutional Neural Network,http://videolectures.net/iccv2015_liang_human_parsing,337
2016-05-27,Net2Net: Accelerating Learning via Knowledge Transfer,http://videolectures.net/iclr2016_chen_net2net,336
2015-09-27,Approval Voting and Incentives in Crowdsourcing,http://videolectures.net/icml2015_shah_crowdsourcing,332
2016-02-23,Borrowing New Ideas from Human Vision,http://videolectures.net/iccv2015_lowe_human_vision,306
2015-12-05,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,http://videolectures.net/icml2015_ioffe_batch_normalization,296
2016-02-10,Semantic Image Segmentation via Deep Parsing Network,http://videolectures.net/iccv2015_liu_li_image_segmentation,290
2016-10-24,SSD: Single Shot MultiBox Detector,http://videolectures.net/eccv2016_anguelov_multibox_detector,285
2015-09-27,Kernel Interpolation for Scalable Structured Gaussian Processes (KISS-GP),http://videolectures.net/icml2015_wilson_kernel_interpolation,281
2016-05-27,Variational Gaussian Process,http://videolectures.net/iclr2016_tran_variational_gaussian,277
2016-10-06,Fundamentals of data science,http://videolectures.net/eswc2016_wagner_data_science,268
2015-07-02,Dense 3D Face Alignment from 2D Videos in Real-Time,http://videolectures.net/fgconference2015_jeni_2d_videos,266
2016-10-24,CNN Image Retrieval Learns from BoW: Unsupervised Fine-Tuning with Hard Examples,http://videolectures.net/eccv2016_radenovic_cnn_image,262
2015-07-28,Proximal Reinforcement Learning:  Learning to Act in Primal Dual Spaces,http://videolectures.net/rldm2015_mahadevan_dual_spaces,257
2016-05-27,Order-Embeddings of Images and Language,http://videolectures.net/iclr2016_vendrov_order_embeddings,253
2016-10-24,The Fast Bilateral Solver,http://videolectures.net/eccv2016_barron_bilateral_solver,252
2016-02-10,Unsupervised Visual Representation Learning by Context Prediction,http://videolectures.net/iccv2015_doersch_visual_representation,251
2015-03-10,NLPGo,http://videolectures.net/cmuseminars_kambadur_nlpgo,247
2016-08-31,Graphons and Machine Learning: Modeling and Estimation of Sparse Massive Networks,http://videolectures.net/kdd2016_chayes_machine_learning,246
2015-12-05,Learning to Rank Using Gradient Descent,http://videolectures.net/icml2015_burges_learning_to_rank,237
2016-09-16,Scalable R on Spark,http://videolectures.net/kdd2016_tutorial_scalable_r_on_spark,236
2016-10-24,Single Image 3D Interpreter Network,http://videolectures.net/eccv2016_wu_single_image,235
2015-12-05,Modern Convex Optimization Methods for Large-scale Empirical Risk Minimization,http://videolectures.net/icml2015_schmidt_risk_minimization,235
2016-02-10,Opening Ceremony,http://videolectures.net/iccv2015_opening_ceremony,225
2015-07-28,Generalization and Exploration via Value Function Randomization,http://videolectures.net/rldm2015_van_roy_function_randomization,222
2016-05-27,Regularizing RNNs by Stabilizing Activations,http://videolectures.net/iclr2016_krueger_regularizing_rnns,221
